item,year,gsdp,state
Railways,2013-14,334468,Andhra_Pradesh
Railways,2014-15,424228,Andhra_Pradesh
Railways,2015-16,436596,Andhra_Pradesh
Railways,2016-17,445372,Andhra_Pradesh
Road transport,2011-12,1824800,Andhra_Pradesh
Road transport,2012-13,2200400,Andhra_Pradesh
Road transport,2013-14,2516200,Andhra_Pradesh
Road transport,2014-15,2816000,Andhra_Pradesh
Road transport,2015-16,3217400,Andhra_Pradesh
Road transport,2016-17,3798300,Andhra_Pradesh
Water transport,2011-12,95100,Andhra_Pradesh
Water transport,2012-13,90400,Andhra_Pradesh
Water transport,2013-14,60600,Andhra_Pradesh
Water transport,2014-15,94200,Andhra_Pradesh
Water transport,2015-16,110500,Andhra_Pradesh
Water transport,2016-17,123600,Andhra_Pradesh
Air transport,2011-12,4500,Andhra_Pradesh
Air transport,2012-13,10600,Andhra_Pradesh
Air transport,2013-14,5100,Andhra_Pradesh
Air transport,2014-15,14900,Andhra_Pradesh
Air transport,2015-16,25000,Andhra_Pradesh
Air transport,2016-17,28000,Andhra_Pradesh
Services incidental to transport,2011-12,501800,Andhra_Pradesh
Services incidental to transport,2012-13,535500,Andhra_Pradesh
Services incidental to transport,2013-14,634700,Andhra_Pradesh
Services incidental to transport,2014-15,780200,Andhra_Pradesh
Services incidental to transport,2015-16,904200,Andhra_Pradesh
Services incidental to transport,2016-17,1020800,Andhra_Pradesh
Storage,2011-12,20700,Andhra_Pradesh
Storage,2012-13,16600,Andhra_Pradesh
Storage,2013-14,18700,Andhra_Pradesh
Storage,2014-15,18700,Andhra_Pradesh
Storage,2015-16,19000,Andhra_Pradesh
Storage,2016-17,20600,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,540200,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,621430,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,796043,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,928756,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,1093530,Andhra_Pradesh
Communication & services related to broadcasting,2016-17,1329645,Andhra_Pradesh
Financial services,2011-12,1425608,Andhra_Pradesh
Financial services,2012-13,1584297,Andhra_Pradesh
Financial services,2013-14,1710463,Andhra_Pradesh
Financial services,2014-15,1900863,Andhra_Pradesh
Financial services,2015-16,2125508,Andhra_Pradesh
Financial services,2016-17,2415390,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,2833805,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,3434098,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,3897345,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,4405409,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,5092310,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2016-17,5942431,Andhra_Pradesh
Public administration,2011-12,1393752,Andhra_Pradesh
Public administration,2012-13,1552379,Andhra_Pradesh
Public administration,2013-14,1738971,Andhra_Pradesh
Public administration,2014-15,2200897,Andhra_Pradesh
Public administration,2015-16,2594904,Andhra_Pradesh
Public administration,2016-17,3039676,Andhra_Pradesh
Other services,2011-12,2730376,Andhra_Pradesh
Other services,2012-13,3063920,Andhra_Pradesh
Other services,2013-14,3538298,Andhra_Pradesh
Other services,2014-15,4215389,Andhra_Pradesh
Other services,2015-16,5248604,Andhra_Pradesh
Other services,2016-17,6180240,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,455505,Arunachal_Pradesh
"Agriculture, forestry and fishing",2012-13,545406,Arunachal_Pradesh
"Agriculture, forestry and fishing",2013-14,603944,Arunachal_Pradesh
"Agriculture, forestry and fishing",2014-15,686117,Arunachal_Pradesh
"Agriculture, forestry and fishing",2015-16,744726,Arunachal_Pradesh
Crops,2011-12,255815,Arunachal_Pradesh
Crops,2012-13,331962,Arunachal_Pradesh
Crops,2013-14,360344,Arunachal_Pradesh
Crops,2014-15,415520,Arunachal_Pradesh
Crops,2015-16,431318,Arunachal_Pradesh
Livestock,2011-12,29657,Arunachal_Pradesh
Livestock,2012-13,24249,Arunachal_Pradesh
Livestock,2013-14,34027,Arunachal_Pradesh
Livestock,2014-15,38387,Arunachal_Pradesh
Livestock,2015-16,44386,Arunachal_Pradesh
Forestry and logging,2011-12,165510,Arunachal_Pradesh
Forestry and logging,2012-13,183780,Arunachal_Pradesh
Forestry and logging,2013-14,204038,Arunachal_Pradesh
Forestry and logging,2014-15,224017,Arunachal_Pradesh
Forestry and logging,2015-16,258676,Arunachal_Pradesh
Fishing and aquaculture,2011-12,4523,Arunachal_Pradesh
Fishing and aquaculture,2012-13,5415,Arunachal_Pradesh
Fishing and aquaculture,2013-14,5535,Arunachal_Pradesh
Fishing and aquaculture,2014-15,8193,Arunachal_Pradesh
Fishing and aquaculture,2015-16,10346,Arunachal_Pradesh
Mining and quarrying,2011-12,23022,Arunachal_Pradesh
Mining and quarrying,2012-13,35024,Arunachal_Pradesh
Mining and quarrying,2013-14,43616,Arunachal_Pradesh
Mining and quarrying,2014-15,30842,Arunachal_Pradesh
Mining and quarrying,2015-16,38068,Arunachal_Pradesh
Manufacturing,2011-12,12900,Arunachal_Pradesh
Manufacturing,2012-13,14827,Arunachal_Pradesh
Manufacturing,2013-14,19714,Arunachal_Pradesh
Manufacturing,2014-15,26120,Arunachal_Pradesh
Manufacturing,2015-16,37743,Arunachal_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,69131,Arunachal_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,78766,Arunachal_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,89594,Arunachal_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,113527,Arunachal_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,139187,Arunachal_Pradesh
Construction,2011-12,104529,Arunachal_Pradesh
Construction,2012-13,107821,Arunachal_Pradesh
Construction,2013-14,124594,Arunachal_Pradesh
Construction,2014-15,147842,Arunachal_Pradesh
Construction,2015-16,161705,Arunachal_Pradesh
"Trade, repair, hotels and restaurants",2011-12,59892,Arunachal_Pradesh
"Trade, repair, hotels and restaurants",2012-13,50878,Arunachal_Pradesh
"Trade, repair, hotels and restaurants",2013-14,70494,Arunachal_Pradesh
"Trade, repair, hotels and restaurants",2014-15,60421,Arunachal_Pradesh
"Trade, repair, hotels and restaurants",2015-16,65846,Arunachal_Pradesh
Trade & repair services,2011-12,56921,Arunachal_Pradesh
Trade & repair services,2012-13,47880,Arunachal_Pradesh
Trade & repair services,2013-14,67273,Arunachal_Pradesh
Trade & repair services,2014-15,56796,Arunachal_Pradesh
Trade & repair services,2015-16,62044,Arunachal_Pradesh
Hotels & restaurants,2011-12,2971,Arunachal_Pradesh
Hotels & restaurants,2012-13,2998,Arunachal_Pradesh
Hotels & restaurants,2013-14,3221,Arunachal_Pradesh
Hotels & restaurants,2014-15,3625,Arunachal_Pradesh
Hotels & restaurants,2015-16,3802,Arunachal_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,23420,Arunachal_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,27306,Arunachal_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,33414,Arunachal_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,35203,Arunachal_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,42833,Arunachal_Pradesh
Railways,2011-12,30,Arunachal_Pradesh
Railways,2012-13,34,Arunachal_Pradesh
Railways,2013-14,47,Arunachal_Pradesh
Railways,2014-15,59,Arunachal_Pradesh
Railways,2015-16,65,Arunachal_Pradesh
Road transport,2011-12,12382,Arunachal_Pradesh
Road transport,2012-13,13618,Arunachal_Pradesh
Road transport,2013-14,16059,Arunachal_Pradesh
Road transport,2014-15,15467,Arunachal_Pradesh
Road transport,2015-16,20413,Arunachal_Pradesh
Water transport,2011-12,0,Arunachal_Pradesh
Water transport,2012-13,0,Arunachal_Pradesh
Water transport,2013-14,0,Arunachal_Pradesh
Water transport,2014-15,0,Arunachal_Pradesh
Water transport,2015-16,0,Arunachal_Pradesh
Air transport,2011-12,0,Arunachal_Pradesh
Air transport,2012-13,0,Arunachal_Pradesh
Air transport,2013-14,0,Arunachal_Pradesh
Air transport,2014-15,0,Arunachal_Pradesh
Air transport,2015-16,0,Arunachal_Pradesh
Services incidental to transport,2011-12,78,Arunachal_Pradesh
Services incidental to transport,2012-13,89,Arunachal_Pradesh
Services incidental to transport,2013-14,100,Arunachal_Pradesh
Services incidental to transport,2014-15,109,Arunachal_Pradesh
Services incidental to transport,2015-16,121,Arunachal_Pradesh
Storage,2011-12,0,Arunachal_Pradesh
Storage,2012-13,0,Arunachal_Pradesh
Storage,2013-14,0,Arunachal_Pradesh
Storage,2014-15,0,Arunachal_Pradesh
Storage,2015-16,0,Arunachal_Pradesh
Communication & services related to broadcasting,2011-12,10930,Arunachal_Pradesh
Communication & services related to broadcasting,2012-13,13565,Arunachal_Pradesh
Communication & services related to broadcasting,2013-14,17208,Arunachal_Pradesh
Communication & services related to broadcasting,2014-15,19568,Arunachal_Pradesh
Communication & services related to broadcasting,2015-16,22234,Arunachal_Pradesh
Financial services,2011-12,20884,Arunachal_Pradesh
Financial services,2012-13,21562,Arunachal_Pradesh
Financial services,2013-14,23571,Arunachal_Pradesh
Financial services,2014-15,25207,Arunachal_Pradesh
Financial services,2015-16,27548,Arunachal_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,38261,Arunachal_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,41869,Arunachal_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,44949,Arunachal_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,48418,Arunachal_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,50432,Arunachal_Pradesh
Public administration,2011-12,135418,Arunachal_Pradesh
Public administration,2012-13,149466,Arunachal_Pradesh
Public administration,2013-14,183105,Arunachal_Pradesh
Public administration,2014-15,243867,Arunachal_Pradesh
Public administration,2015-16,265622,Arunachal_Pradesh
Other services,2011-12,142509,Arunachal_Pradesh
Other services,2012-13,167431,Arunachal_Pradesh
Other services,2013-14,189928,Arunachal_Pradesh
Other services,2014-15,218728,Arunachal_Pradesh
Other services,2015-16,257504,Arunachal_Pradesh
"Agriculture, forestry and fishing",2011-12,2848113,Assam
"Agriculture, forestry and fishing",2012-13,3391548,Assam
"Agriculture, forestry and fishing",2013-14,3692959,Assam
"Agriculture, forestry and fishing",2014-15,3855548,Assam
"Agriculture, forestry and fishing",2015-16,4343564,Assam
Crops,2011-12,2061487,Assam
Crops,2012-13,2496905,Assam
Crops,2013-14,2720261,Assam
Crops,2014-15,2890544,Assam
Crops,2015-16,3310990,Assam
Livestock,2011-12,159289,Assam
Livestock,2012-13,179160,Assam
Livestock,2013-14,155267,Assam
Livestock,2014-15,173478,Assam
Livestock,2015-16,175526,Assam
Forestry and logging,2011-12,231388,Assam
Forestry and logging,2012-13,246368,Assam
Forestry and logging,2013-14,311458,Assam
Forestry and logging,2014-15,261987,Assam
Forestry and logging,2015-16,278521,Assam
Fishing and aquaculture,2011-12,395949,Assam
Fishing and aquaculture,2012-13,469115,Assam
Fishing and aquaculture,2013-14,505973,Assam
Fishing and aquaculture,2014-15,529539,Assam
Fishing and aquaculture,2015-16,578527,Assam
Mining and quarrying,2011-12,1464989,Assam
Mining and quarrying,2012-13,1448306,Assam
Mining and quarrying,2013-14,1423477,Assam
Mining and quarrying,2014-15,1471149,Assam
Mining and quarrying,2015-16,1493456,Assam
Manufacturing,2011-12,1540255,Assam
Manufacturing,2012-13,1531538,Assam
Manufacturing,2013-14,1904299,Assam
Manufacturing,2014-15,2002936,Assam
Manufacturing,2015-16,2055341,Assam
"Electricity, gas, water supply & other utility services",2011-12,191883,Assam
"Electricity, gas, water supply & other utility services",2012-13,210901,Assam
"Electricity, gas, water supply & other utility services",2013-14,257083,Assam
"Electricity, gas, water supply & other utility services",2014-15,296587,Assam
"Electricity, gas, water supply & other utility services",2015-16,372236,Assam
Construction,2011-12,1188747,Assam
Construction,2012-13,1270304,Assam
Construction,2013-14,1537481,Assam
Construction,2014-15,1733568,Assam
Construction,2015-16,2093594,Assam
"Trade, repair, hotels and restaurants",2011-12,2045676,Assam
"Trade, repair, hotels and restaurants",2012-13,2284041,Assam
"Trade, repair, hotels and restaurants",2013-14,2573962,Assam
"Trade, repair, hotels and restaurants",2014-15,2987155,Assam
"Trade, repair, hotels and restaurants",2015-16,3480621,Assam
Trade & repair services,2011-12,1961211,Assam
Trade & repair services,2012-13,2191727,Assam
Trade & repair services,2013-14,2473790,Assam
Trade & repair services,2014-15,2876251,Assam
Trade & repair services,2015-16,3353852,Assam
Hotels & restaurants,2011-12,84465,Assam
Hotels & restaurants,2012-13,92314,Assam
Hotels & restaurants,2013-14,100172,Assam
Hotels & restaurants,2014-15,110904,Assam
Hotels & restaurants,2015-16,126769,Assam
"Transport, storage, communication & services related to broadcasting",2011-12,810091,Assam
"Transport, storage, communication & services related to broadcasting",2012-13,929196,Assam
"Transport, storage, communication & services related to broadcasting",2013-14,1086729,Assam
"Transport, storage, communication & services related to broadcasting",2014-15,1194568,Assam
"Transport, storage, communication & services related to broadcasting",2015-16,1392834,Assam
Railways,2011-12,158334,Assam
Railways,2012-13,186316,Assam
Railways,2013-14,215234,Assam
Railways,2014-15,252509,Assam
Railways,2015-16,294682,Assam
Road transport,2011-12,356262,Assam
Road transport,2012-13,422930,Assam
Road transport,2013-14,474743,Assam
Road transport,2014-15,507668,Assam
Road transport,2015-16,579295,Assam
Water transport,2011-12,43626,Assam
Water transport,2012-13,47129,Assam
Water transport,2013-14,25033,Assam
Water transport,2014-15,4502,Assam
Water transport,2015-16,5023,Assam
Air transport,2011-12,0,Assam
Air transport,2012-13,255,Assam
Air transport,2013-14,9711,Assam
Air transport,2014-15,26223,Assam
Air transport,2015-16,29260,Assam
Services incidental to transport,2011-12,36400,Assam
Services incidental to transport,2012-13,39855,Assam
Services incidental to transport,2013-14,36798,Assam
Services incidental to transport,2014-15,35739,Assam
Services incidental to transport,2015-16,37732,Assam
Storage,2011-12,6594,Assam
Storage,2012-13,7277,Assam
Storage,2013-14,8377,Assam
Storage,2014-15,10308,Assam
Storage,2015-16,12070,Assam
Communication & services related to broadcasting,2011-12,208875,Assam
Communication & services related to broadcasting,2012-13,225434,Assam
Communication & services related to broadcasting,2013-14,316833,Assam
Communication & services related to broadcasting,2014-15,357619,Assam
Communication & services related to broadcasting,2015-16,434772,Assam
Financial services,2011-12,427077,Assam
Financial services,2012-13,457213,Assam
Financial services,2013-14,515905,Assam
Financial services,2014-15,543651,Assam
Financial services,2015-16,591575,Assam
"Real estate, ownership of dwelling & professional services",2011-12,1112543,Assam
"Real estate, ownership of dwelling & professional services",2012-13,1225917,Assam
"Real estate, ownership of dwelling & professional services",2013-14,1316472,Assam
"Real estate, ownership of dwelling & professional services",2014-15,1412466,Assam
"Real estate, ownership of dwelling & professional services",2015-16,1534435,Assam
Public administration,2011-12,821723,Assam
Public administration,2012-13,929477,Assam
Public administration,2013-14,982734,Assam
Public administration,2014-15,1373611,Assam
Public administration,2015-16,1556575,Assam
Other services,2011-12,1077923,Assam
Other services,2012-13,1182533,Assam
Other services,2013-14,1493924,Assam
Other services,2014-15,1795658,Assam
Other services,2015-16,2209442,Assam
"Agriculture, forestry and fishing",2011-12,6206655,Bihar
"Agriculture, forestry and fishing",2012-13,7669989,Bihar
"Agriculture, forestry and fishing",2013-14,7371939,Bihar
"Agriculture, forestry and fishing",2014-15,7951890,Bihar
"Agriculture, forestry and fishing",2015-16,8095024,Bihar
Crops,2011-12,4260778,Bihar
Crops,2012-13,5336544,Bihar
Crops,2013-14,4522339,Bihar
Crops,2014-15,4688237,Bihar
Crops,2015-16,4577220,Bihar
Livestock,2011-12,1202821,Bihar
Livestock,2012-13,1481102,Bihar
Livestock,2013-14,1831596,Bihar
Livestock,2014-15,2060296,Bihar
Livestock,2015-16,2247038,Bihar
Forestry and logging,2011-12,418682,Bihar
Forestry and logging,2012-13,457077,Bihar
Forestry and logging,2013-14,500976,Bihar
Forestry and logging,2014-15,550132,Bihar
Forestry and logging,2015-16,591042,Bihar
Fishing and aquaculture,2011-12,324374,Bihar
Fishing and aquaculture,2012-13,395266,Bihar
Fishing and aquaculture,2013-14,517028,Bihar
Fishing and aquaculture,2014-15,653224,Bihar
Fishing and aquaculture,2015-16,679725,Bihar
Mining and quarrying,2011-12,19858,Bihar
Mining and quarrying,2012-13,23429,Bihar
Mining and quarrying,2013-14,150804,Bihar
Mining and quarrying,2014-15,68107,Bihar
Mining and quarrying,2015-16,68549,Bihar
Manufacturing,2011-12,1466570,Bihar
Manufacturing,2012-13,1035092,Bihar
Manufacturing,2013-14,2120942,Bihar
Manufacturing,2014-15,2189965,Bihar
Manufacturing,2015-16,2892956,Bihar
"Electricity, gas, water supply & other utility services",2011-12,365887,Bihar
"Electricity, gas, water supply & other utility services",2012-13,442206,Bihar
"Electricity, gas, water supply & other utility services",2013-14,385931,Bihar
"Electricity, gas, water supply & other utility services",2014-15,345168,Bihar
"Electricity, gas, water supply & other utility services",2015-16,363130,Bihar
Construction,2011-12,2701685,Bihar
Construction,2012-13,2781005,Bihar
Construction,2013-14,3184760,Bihar
Construction,2014-15,3449763,Bihar
Construction,2015-16,3667664,Bihar
"Trade, repair, hotels and restaurants",2011-12,4390442,Bihar
"Trade, repair, hotels and restaurants",2012-13,5175534,Bihar
"Trade, repair, hotels and restaurants",2013-14,5205102,Bihar
"Trade, repair, hotels and restaurants",2014-15,7448373,Bihar
"Trade, repair, hotels and restaurants",2015-16,8789191,Bihar
Trade & repair services,2011-12,4110861,Bihar
Trade & repair services,2012-13,4867227,Bihar
Trade & repair services,2013-14,4873547,Bihar
Trade & repair services,2014-15,7081391,Bihar
Trade & repair services,2015-16,8383018,Bihar
Hotels & restaurants,2011-12,279581,Bihar
Hotels & restaurants,2012-13,308307,Bihar
Hotels & restaurants,2013-14,331555,Bihar
Hotels & restaurants,2014-15,366982,Bihar
Hotels & restaurants,2015-16,406173,Bihar
"Transport, storage, communication & services related to broadcasting",2011-12,1754480,Bihar
"Transport, storage, communication & services related to broadcasting",2012-13,2161629,Bihar
"Transport, storage, communication & services related to broadcasting",2013-14,2684993,Bihar
"Transport, storage, communication & services related to broadcasting",2014-15,3147173,Bihar
"Transport, storage, communication & services related to broadcasting",2015-16,3658194,Bihar
Railways,2011-12,275142,Bihar
Railways,2012-13,334829,Bihar
Railways,2013-14,395681,Bihar
Railways,2014-15,462413,Bihar
Railways,2015-16,540400,Bihar
Road transport,2011-12,840472,Bihar
Road transport,2012-13,1069740,Bihar
Road transport,2013-14,1347912,Bihar
Road transport,2014-15,1572288,Bihar
Road transport,2015-16,1833696,Bihar
Water transport,2011-12,4895,Bihar
Water transport,2012-13,2559,Bihar
Water transport,2013-14,1728,Bihar
Water transport,2014-15,2228,Bihar
Water transport,2015-16,2228,Bihar
Air transport,2011-12,3079,Bihar
Air transport,2012-13,5848,Bihar
Air transport,2013-14,4557,Bihar
Air transport,2014-15,13599,Bihar
Air transport,2015-16,13599,Bihar
Services incidental to transport,2011-12,89270,Bihar
Services incidental to transport,2012-13,112022,Bihar
Services incidental to transport,2013-14,142482,Bihar
Services incidental to transport,2014-15,166600,Bihar
Services incidental to transport,2015-16,194712,Bihar
Storage,2011-12,7400,Bihar
Storage,2012-13,8434,Bihar
Storage,2013-14,8457,Bihar
Storage,2014-15,10618,Bihar
Storage,2015-16,10618,Bihar
Communication & services related to broadcasting,2011-12,534222,Bihar
Communication & services related to broadcasting,2012-13,628197,Bihar
Communication & services related to broadcasting,2013-14,784175,Bihar
Communication & services related to broadcasting,2014-15,919427,Bihar
Communication & services related to broadcasting,2015-16,1062941,Bihar
Financial services,2011-12,883932,Bihar
Financial services,2012-13,977417,Bihar
Financial services,2013-14,1122273,Bihar
Financial services,2014-15,1178022,Bihar
Financial services,2015-16,1236540,Bihar
"Real estate, ownership of dwelling & professional services",2011-12,2802336,Bihar
"Real estate, ownership of dwelling & professional services",2012-13,3121656,Bihar
"Real estate, ownership of dwelling & professional services",2013-14,3460385,Bihar
"Real estate, ownership of dwelling & professional services",2014-15,3740641,Bihar
"Real estate, ownership of dwelling & professional services",2015-16,4081952,Bihar
Public administration,2011-12,1358743,Bihar
Public administration,2012-13,1477676,Bihar
Public administration,2013-14,1576835,Bihar
Public administration,2014-15,2078171,Bihar
Public administration,2015-16,2129474,Bihar
Other services,2011-12,2219262,Bihar
Other services,2012-13,2804281,Bihar
Other services,2013-14,3404578,Bihar
Other services,2014-15,4587589,Bihar
Other services,2015-16,4845291,Bihar
"Agriculture, forestry and fishing",2011-12,2685950,Chhattisgarh
"Agriculture, forestry and fishing",2012-13,3180908,Chhattisgarh
"Agriculture, forestry and fishing",2013-14,3589934,Chhattisgarh
"Agriculture, forestry and fishing",2014-15,3948847,Chhattisgarh
"Agriculture, forestry and fishing",2015-16,4341869,Chhattisgarh
"Agriculture, forestry and fishing",2016-17,4852218,Chhattisgarh
Crops,2011-12,1798258,Chhattisgarh
Crops,2012-13,2140927,Chhattisgarh
Crops,2013-14,2395705,Chhattisgarh
Crops,2014-15,2613371,Chhattisgarh
Crops,2015-16,2829924,Chhattisgarh
Crops,2016-17,3132527,Chhattisgarh
Livestock,2011-12,226704,Chhattisgarh
Livestock,2012-13,255035,Chhattisgarh
Livestock,2013-14,310931,Chhattisgarh
Livestock,2014-15,352208,Chhattisgarh
Livestock,2015-16,412501,Chhattisgarh
Livestock,2016-17,467223,Chhattisgarh
Forestry and logging,2011-12,426205,Chhattisgarh
Forestry and logging,2012-13,503309,Chhattisgarh
Forestry and logging,2013-14,559637,Chhattisgarh
Forestry and logging,2014-15,597785,Chhattisgarh
Forestry and logging,2015-16,672022,Chhattisgarh
Forestry and logging,2016-17,778945,Chhattisgarh
Fishing and aquaculture,2011-12,234783,Chhattisgarh
Fishing and aquaculture,2012-13,281637,Chhattisgarh
Fishing and aquaculture,2013-14,323661,Chhattisgarh
Fishing and aquaculture,2014-15,385483,Chhattisgarh
Fishing and aquaculture,2015-16,427422,Chhattisgarh
Fishing and aquaculture,2016-17,473523,Chhattisgarh
Mining and quarrying,2011-12,1970258,Chhattisgarh
Mining and quarrying,2012-13,1923021,Chhattisgarh
Mining and quarrying,2013-14,2144358,Chhattisgarh
Mining and quarrying,2014-15,2451970,Chhattisgarh
Mining and quarrying,2015-16,2365874,Chhattisgarh
Mining and quarrying,2016-17,2482291,Chhattisgarh
Manufacturing,2011-12,2435032,Chhattisgarh
Manufacturing,2012-13,2817915,Chhattisgarh
Manufacturing,2013-14,3810105,Chhattisgarh
Manufacturing,2014-15,4370593,Chhattisgarh
Manufacturing,2015-16,4925000,Chhattisgarh
Manufacturing,2016-17,5403213,Chhattisgarh
"Electricity, gas, water supply & other utility services",2011-12,709991,Chhattisgarh
"Electricity, gas, water supply & other utility services",2012-13,970686,Chhattisgarh
